"id","date","customer_name","state","city"
"B-25601","1/4/2018","Bharat                          ","Gujarat                         ","Ahmedabad                       "
"B-25602","1/4/2018","Pearl                           ","Maharashtra                     ","Pune                            "
"B-25603","3/4/2018","Jahan                           ","Madhya Pradesh                  ","Bhopal                          "
"B-25604","3/4/2018","Divsha                          ","Rajasthan                       ","Jaipur                          "
"B-25605","5/4/2018","Kasheen                         ","West Bengal                     ","Kolkata                         "
"B-25606","6/4/2018","Hazel                           ","Karnataka                       ","Bangalore                       "
"B-25607","6/4/2018","Sonakshi                        ","Jammu and Kashmir               ","Kashmir                         "
"B-25608","8/4/2018","Aarushi                         ","Tamil Nadu                      ","Chennai                         "
"B-25609","9/4/2018","Jitesh                          ","Uttar Pradesh                   ","Lucknow                         "
"B-25610","9/4/2018","Yogesh                          ","Bihar                           ","Patna                           "
"B-25611","11/4/2018","Anita                           ","Kerala                          ","Thiruvananthapuram              "
"B-25612","12/4/2018","Shrichand                       ","Punjab                          ","Chandigarh                      "
"B-25613","12/4/2018","Mukesh                          ","Haryana                         ","Chandigarh                      "
"B-25614","13/4/2018","Vandana                         ","Himachal Pradesh                ","Simla                           "
"B-25615","15/4/2018","Bhavna                          ","Sikkim                          ","Gangtok                         "
"B-25616","15/4/2018","Kanak                           ","Goa                             ","Goa                             "
"B-25617","17/4/2018","Sagar                           ","Nagaland                        ","Kohima                          "
"B-25618","18/4/2018","Manju                           ","Andhra Pradesh                  ","Hyderabad                       "
"B-25619","18/4/2018","Ramesh                          ","Gujarat                         ","Ahmedabad                       "
"B-25620","20/4/2018","Sarita                          ","Maharashtra                     ","Pune                            "
"B-25621","20/4/2018","Deepak                          ","Madhya Pradesh                  ","Bhopal                          "
"B-25622","22/4/2018","Monisha                         ","Rajasthan                       ","Jaipur                          "
"B-25623","22/4/2018","Atharv                          ","West Bengal                     ","Kolkata                         "
"B-25624","22/4/2018","Vini                            ","Karnataka                       ","Bangalore                       "
"B-25625","23/4/2018","Pinky                           ","Jammu and Kashmir               ","Kashmir                         "
